nom	id	theme	v25	v2026
<Carte>.RécupèreStyle	1000025798	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.SuitDéplacement	1000022464	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.SupprimeCalque	1410091626	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.SupprimeForme	1000025820	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.SupprimeImage	1000025829	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.SupprimeItinéraire	1000022465	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.SupprimeMarqueur	1000022466	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.SupprimeTout	1000022472	gestion du champ Carte (syntaxe préfixée)	1	1
<Cellule>.AfficheDialogue	1000021652	gestion des pages (syntaxe préfixée)	1	1
<Cellule>.FermeDialogue	1000021653	gestion des pages (syntaxe préfixée)	1	1
<Chaîne ANSI>.AnsiVersOem	1000024891	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.AnsiVersUnicode	1000024892	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.BufferVersHexa	1000024894	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.CaractOccurrenceType	1000024895	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.CommencePar	1000024901	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Complète	1410089823	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Contient	1410089824	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Découpe	1000024902	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Droite	1410089825	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.ExtraitChaîne	1000024876	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.FinitPar	1000024903	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Formate	1000024877	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Incrémente	1000024905	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Insère	1000024906	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Inverse	1000024908	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.RegexCherche	1410090616	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.RegexRemplace	1410090617	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.RegexVérifie	1410090618	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.Remplace	1000024890	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.SupprimeDoublon	1410087983	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne ANSI>.VersNumérique	1410087984	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne OEM>.OemVersAnsi	1410090334	gestion des chaînes de caractères (syntaxe préfixée)	0	1
